model_year,milage,fuel_type,transmission,accident,clean_title,age,depreciation_constant
2013,79800,Gasoline,Automatic,No,Yes,12,0.0760892624813204
2006,300183,Gasoline,Automatic,Yes,Yes,19,0.08912495946732936
2020,35035,Hybrid,Automatic,No,No,5,0.16316682424528256
2011,171000,Gasoline,Automatic,No,Yes,14,0.1539648388121347
2017,119000,Gasoline,Automatic,No,Yes,8,0.10826528247300592
2018,44261,Gasoline,Automatic,No,No,7,0.0736529405865085
2012,125575,Gasoline,Automatic,No,Yes,13,0.13239615638198377
2007,16200,Gasoline,Automatic,No,Yes,18,0.07429138983471
2014,70000,Gasoline,Automatic,Yes,Yes,11,0.11093893824413655
2011,20200,E85 Flex Fuel,Automatic,No,Yes,14,0.08792440625424393
2023,2978,Gasoline,Automatic,No,No,2,0.024437991601131137
2019,9949,Gasoline,Automatic,No,No,6,0.10385883794811539
2022,3552,Electric,Automatic,No,Yes,3,0.08970846245659843
2012,54000,Gasoline,Automatic,Yes,Yes,13,0.06533184269188705
2021,51351,Gasoline,Automatic,No,Yes,4,0.05402873630893972
2018,40000,Plug-In Hybrid,Dual Shift,No,Yes,7,0.10626128264254797
2022,4900,Electric,Automatic,No,Yes,3,0.1538296488830652
2023,3800,Gasoline,Manual,No,Yes,2,0.013550021195019862
2022,36602,Hybrid,Automatic,No,Yes,3,0.08452883537579503
2022,4451,Gasoline,Automatic,Yes,Yes,3,0.005624133109567767
2014,36812,Gasoline,Dual Shift,No,Yes,11,0.0836567025668331
2018,104700,Gasoline,Automatic,Yes,No,7,0.15756220732930531
2010,72348,Gasoline,Automatic,Yes,Yes,15,0.060319949604230615
2006,153843,Gasoline,Automatic,Yes,Yes,19,0.11282452332290664
2021,21000,Gasoline,Dual Shift,No,Yes,4,0.05387245170838292
2011,120000,Gasoline,Automatic,No,Yes,14,0.1463521990339153
2020,18665,Gasoline,Automatic,No,Yes,5,0.10239615972572931
2023,820,Gasoline,Others,No,No,2,-0.015607040612989462
2021,68000,Gasoline,Automatic,No,Yes,4,0.16088094245137102
2018,4529,Gasoline,Automatic,No,Yes,7,-0.015043898599250302
2017,37800,Gasoline,Dual Shift,No,Yes,8,-0.002986908961031809
2022,26500,Gasoline,Automatic,No,Yes,3,0.056296948882793844
2018,41000,Gasoline,Dual Shift,No,Yes,7,0.07878828901604207
2008,94155,Gasoline,Automatic,No,Yes,17,0.11179997871471356
2016,25000,Gasoline,Automatic,No,Yes,9,0.12639644385827653
2022,1966,Gasoline,Automatic,No,No,3,0.03629070976014346
2021,13692,Gasoline,Automatic,No,Yes,4,0.011971387272041834
2013,60058,Gasoline,Automatic,Yes,Yes,12,0.09633860435864884
2003,224000,Gasoline,Manual,No,Yes,22,0.10415665290762366
2020,25568,Gasoline,Manual,No,Yes,5,0.01907563829266005
2002,80000,Gasoline,Manual,Yes,Yes,23,0.06989466778905906
2022,9325,Gasoline,Automatic,No,No,3,0.08771403951489637
2020,35902,Gasoline,Automatic,No,No,5,0.09305908037942426
2015,26600,Gasoline,Automatic,No,Yes,10,0.06222387288895056
2018,16400,Gasoline,Automatic,No,Yes,7,0.04141084655382852
2022,7000,Hybrid,Automatic,No,Yes,3,-7.506363882838178e-05
2001,90400,Gasoline,Automatic,No,Yes,24,0.09357143913784954
2022,19000,Hybrid,Automatic,No,Yes,3,0.020409196099059487
2021,13613,Gasoline,Automatic,No,No,4,0.1105959829242741
2023,1185,Gasoline,Automatic,No,Yes,2,-0.048696756083739065
2008,149000,Gasoline,Automatic,No,Yes,17,0.11070935793083571
2020,21487,Gasoline,Automatic,No,Yes,5,0.10408654871506418
2020,8700,Gasoline,Dual Shift,No,Yes,5,0.06583741538217552
2016,1000,Gasoline,Dual Shift,No,Yes,9,0.12111955084953593
2021,4700,Hybrid,Automatic,No,Yes,4,0.08656741118457381
2021,850,Gasoline,Automatic,No,Yes,4,0.04617378834421104
2019,33012,Electric,Automatic,No,Yes,6,0.16656868273770956
2020,10500,Gasoline,Automatic,No,Yes,5,0.09106962985934068
2018,45843,Gasoline,Automatic,No,Yes,7,0.12789906361581913
2020,44362,Gasoline,Automatic,No,Yes,5,0.02664112519188346
2019,18603,Gasoline,Automatic,No,No,6,0.06826503870100399
2020,40237,Gasoline,Automatic,No,No,5,0.07006603846107963
2018,29294,Gasoline,Automatic,No,Yes,7,0.11676527202193246
2008,37000,Gasoline,Automatic,No,Yes,17,0.06360999425470526
2022,18185,Gasoline,Automatic,No,No,3,0.028360228098627902
2018,56450,Electric,Automatic,Yes,Yes,7,0.14848408156801438
2024,3880,Gasoline,Automatic,No,Yes,1,-0.04991268258014791
2016,44000,Gasoline,Automatic,No,Yes,9,0.12647029749000754
2012,103272,Gasoline,Automatic,No,Yes,13,0.13201102536597875
2019,54002,Gasoline,Automatic,Yes,Yes,6,0.16155781931711535
2021,14206,Gasoline,Automatic,No,Yes,4,0.03258022183009624
2010,79000,Gasoline,Automatic,No,Yes,15,0.10998077218260413
1998,7666,Gasoline,Automatic,No,Yes,27,0.024556080105753386
2020,22655,Gasoline,Automatic,No,Yes,5,0.06239420299103987
2019,9500,Gasoline,Dual Shift,No,Yes,6,0.06605951484623951
2017,63000,Gasoline,Automatic,Yes,Yes,8,0.09044367032615135
2020,15109,Gasoline,Automatic,Unknown,No,5,0.07319012023249151
2018,47466,Gasoline,Automatic,No,No,7,0.054530613265170565
2023,1335,Gasoline,Automatic,No,Yes,2,0.040119699737935124
2015,101000,Hybrid,Automatic,Yes,Yes,10,0.09014416337512166
2022,29322,Gasoline,Automatic,No,No,3,-0.04785530645639896
2019,23900,Gasoline,Automatic,No,Yes,6,0.11654687952588226
2010,155000,Gasoline,Automatic,No,Yes,15,0.12674959997039603
2019,26998,Gasoline,Automatic,No,No,6,0.06622365128999691
2019,67500,Gasoline,Automatic,No,Yes,6,0.12716594216569707
2020,52000,Gasoline,Automatic,Yes,Yes,5,0.10993379344205541
2016,39700,Gasoline,Automatic,No,Yes,9,0.0813574503083011
2017,55000,Gasoline,Dual Shift,No,Yes,8,0.11007684842771058
2019,16000,Electric,Automatic,Yes,Yes,6,0.15806147221565267
1993,58981,Others,Automatic,No,Yes,32,0.0400043945086496
2005,32000,Gasoline,Dual Shift,Yes,Yes,20,-0.14607524548096434
2007,135465,Gasoline,Automatic,No,Yes,18,0.034767754910669725
2016,73000,Gasoline,Dual Shift,No,Yes,9,0.16957549882735665
2019,26465,Gasoline,Automatic,No,No,6,0.08549990557045632
2010,25991,Gasoline,Automatic,No,Yes,15,0.06185705711386266
2011,105000,Gasoline,Manual,Yes,Yes,14,0.09310329725785885
2011,72277,Gasoline,Dual Shift,No,Yes,14,0.05971530926804713
2022,5800,Electric,Automatic,No,Yes,3,0.08882748994660052
2017,33812,Electric,Automatic,No,Yes,8,0.13583704259836568
2017,22000,Gasoline,Dual Shift,No,Yes,8,0.027353208905521762
2018,66126,Gasoline,Automatic,No,No,7,0.06457065690426385
2015,90000,Gasoline,Automatic,No,Yes,10,0.08801281948724947
2017,40600,Gasoline,Automatic,No,Yes,8,0.08693797207561954
2018,92000,Diesel,Automatic,Yes,Yes,7,0.10212406575570011
2017,39000,Gasoline,Dual Shift,Yes,Yes,8,0.11805908998627931
2011,114890,Gasoline,Dual Shift,No,Yes,14,0.09613476175713839
2002,77200,Gasoline,Manual,No,Yes,23,0.08267003331752339
2019,50000,Gasoline,Automatic,No,Yes,6,0.09895417832860716
2022,2250,Gasoline,Automatic,No,Yes,3,-0.004523815218966102
2004,229450,Gasoline,Automatic,No,Yes,21,0.07219392890458447
2020,78700,Gasoline,Automatic,No,Yes,5,0.11973677285753499
2015,109580,Gasoline,Automatic,Yes,Yes,10,0.10647397136806847
2007,50000,Gasoline,Dual Shift,Yes,Yes,18,0.10092390330592206
2020,29140,Gasoline,Manual,No,Yes,5,0.038848360206513166
2021,33300,Diesel,Automatic,No,Yes,4,0.0800010109784764
2013,93500,Gasoline,Automatic,Yes,Yes,12,0.14414864159772942
2003,97496,Gasoline,Manual,Unknown,No,22,0.03956075193290596
2022,16120,Gasoline,Automatic,No,No,3,0.0729469712473181
2016,47144,Gasoline,Manual,No,Yes,9,0.05336218928144068
2011,165454,Gasoline,Automatic,Yes,Yes,14,0.17185383042650562
2019,19000,E85 Flex Fuel,Automatic,Yes,No,6,0.049009040412807965
2023,1539,Hybrid,Automatic,Yes,Yes,2,-0.10445714415847775
2015,13300,Gasoline,Automatic,No,Yes,10,0.07506006619742864
2020,16000,Hybrid,Automatic,No,Yes,5,0.0899889024210411
2019,7874,Electric,Automatic,No,No,6,0.16224370856289574
2017,49105,Gasoline,Automatic,No,Yes,8,0.04549082182688847
2014,92861,Gasoline,Automatic,No,Yes,11,0.06731284998684163
2016,72000,Gasoline,Automatic,No,Yes,9,0.15300250426064477
2009,92008,Gasoline,Automatic,No,Yes,16,0.12703300720848523
1998,63900,Gasoline,Automatic,No,Yes,27,0.04169090138703127
2020,30554,Electric,Automatic,No,No,5,0.11297280437589793
2023,17000,Electric,Automatic,No,Yes,2,0.07524529704667168
2016,51335,Gasoline,Automatic,Yes,Yes,9,0.07922125478926793
2019,115000,Gasoline,Automatic,No,Yes,6,0.04718244053214173
2012,239000,Hybrid,Automatic,No,Yes,13,0.17079033377357597
2020,46891,Gasoline,Automatic,Yes,Yes,5,0.10544136898988983
2023,4457,Gasoline,Automatic,No,No,2,0.08522125293205896
