milage,fuel_type,transmission,accident,clean_title,age,depreciation_constant
79800,Gasoline,Automatic,No,Yes,12,0.0760892624813204
300183,Gasoline,Automatic,Yes,Yes,19,0.0891249594673293
35035,Hybrid,Automatic,No,No,5,0.1631668242452825
171000,Gasoline,Automatic,No,Yes,14,0.1539648388121347
119000,Gasoline,Automatic,No,Yes,8,0.1082652824730059
44261,Gasoline,Automatic,No,No,7,0.0736529405865085
125575,Gasoline,Automatic,No,Yes,13,0.1323961563819837
16200,Gasoline,Automatic,No,Yes,18,0.07429138983471
70000,Gasoline,Automatic,Yes,Yes,11,0.1109389382441365
20200,E85 Flex Fuel,Automatic,No,Yes,14,0.0879244062542439
2978,Gasoline,Automatic,No,No,2,0.0244379916011311
9949,Gasoline,Automatic,No,No,6,0.1038588379481153
3552,Electric,Automatic,No,Yes,3,0.0897084624565984
54000,Gasoline,Automatic,Yes,Yes,13,0.065331842691887
51351,Gasoline,Automatic,No,Yes,4,0.0540287363089397
40000,Plug-In Hybrid,Dual Shift,No,Yes,7,0.1062612826425479
4900,Electric,Automatic,No,Yes,3,0.1538296488830652
3800,Gasoline,Manual,No,Yes,2,0.0135500211950198
36602,Hybrid,Automatic,No,Yes,3,0.084528835375795
4451,Gasoline,Automatic,Yes,Yes,3,0.0056241331095677
36812,Gasoline,Dual Shift,No,Yes,11,0.0836567025668331
104700,Gasoline,Automatic,Yes,No,7,0.1575622073293053
72348,Gasoline,Automatic,Yes,Yes,15,0.0603199496042306
153843,Gasoline,Automatic,Yes,Yes,19,0.1128245233229066
21000,Gasoline,Dual Shift,No,Yes,4,0.0538724517083829
120000,Gasoline,Automatic,No,Yes,14,0.1463521990339153
18665,Gasoline,Automatic,No,Yes,5,0.1023961597257293
820,Gasoline,Others,No,No,2,-0.0156070406129894
68000,Gasoline,Automatic,No,Yes,4,0.160880942451371
4529,Gasoline,Automatic,No,Yes,7,-0.0150438985992503
37800,Gasoline,Dual Shift,No,Yes,8,-0.0029869089610318
26500,Gasoline,Automatic,No,Yes,3,0.0562969488827938
41000,Gasoline,Dual Shift,No,Yes,7,0.078788289016042
94155,Gasoline,Automatic,No,Yes,17,0.1117999787147135
25000,Gasoline,Automatic,No,Yes,9,0.1263964438582765
1966,Gasoline,Automatic,No,No,3,0.0362907097601434
13692,Gasoline,Automatic,No,Yes,4,0.0119713872720418
60058,Gasoline,Automatic,Yes,Yes,12,0.0963386043586488
224000,Gasoline,Manual,No,Yes,22,0.1041566529076236
25568,Gasoline,Manual,No,Yes,5,0.01907563829266
80000,Gasoline,Manual,Yes,Yes,23,0.069894667789059
9325,Gasoline,Automatic,No,No,3,0.0877140395148963
35902,Gasoline,Automatic,No,No,5,0.0930590803794242
26600,Gasoline,Automatic,No,Yes,10,0.0622238728889505
16400,Gasoline,Automatic,No,Yes,7,0.0414108465538285
7000,Hybrid,Automatic,No,Yes,3,-7.506363882838178e-05
90400,Gasoline,Automatic,No,Yes,24,0.0935714391378495
19000,Hybrid,Automatic,No,Yes,3,0.0204091960990594
13613,Gasoline,Automatic,No,No,4,0.1105959829242741
1185,Gasoline,Automatic,No,Yes,2,-0.048696756083739
149000,Gasoline,Automatic,No,Yes,17,0.1107093579308357
21487,Gasoline,Automatic,No,Yes,5,0.1040865487150641
8700,Gasoline,Dual Shift,No,Yes,5,0.0658374153821755
1000,Gasoline,Dual Shift,No,Yes,9,0.1211195508495359
4700,Hybrid,Automatic,No,Yes,4,0.0865674111845738
850,Gasoline,Automatic,No,Yes,4,0.046173788344211
33012,Electric,Automatic,No,Yes,6,0.1665686827377095
10500,Gasoline,Automatic,No,Yes,5,0.0910696298593406
45843,Gasoline,Automatic,No,Yes,7,0.1278990636158191
44362,Gasoline,Automatic,No,Yes,5,0.0266411251918834
18603,Gasoline,Automatic,No,No,6,0.0682650387010039
40237,Gasoline,Automatic,No,No,5,0.0700660384610796
29294,Gasoline,Automatic,No,Yes,7,0.1167652720219324
37000,Gasoline,Automatic,No,Yes,17,0.0636099942547052
18185,Gasoline,Automatic,No,No,3,0.0283602280986279
56450,Electric,Automatic,Yes,Yes,7,0.1484840815680143
3880,Gasoline,Automatic,No,Yes,1,-0.0499126825801479
44000,Gasoline,Automatic,No,Yes,9,0.1264702974900075
103272,Gasoline,Automatic,No,Yes,13,0.1320110253659787
54002,Gasoline,Automatic,Yes,Yes,6,0.1615578193171153
14206,Gasoline,Automatic,No,Yes,4,0.0325802218300962
79000,Gasoline,Automatic,No,Yes,15,0.1099807721826041
7666,Gasoline,Automatic,No,Yes,27,0.0245560801057533
22655,Gasoline,Automatic,No,Yes,5,0.0623942029910398
9500,Gasoline,Dual Shift,No,Yes,6,0.0660595148462395
63000,Gasoline,Automatic,Yes,Yes,8,0.0904436703261513
15109,Gasoline,Automatic,Unknown,No,5,0.0731901202324915
47466,Gasoline,Automatic,No,No,7,0.0545306132651705
1335,Gasoline,Automatic,No,Yes,2,0.0401196997379351
101000,Hybrid,Automatic,Yes,Yes,10,0.0901441633751216
29322,Gasoline,Automatic,No,No,3,-0.0478553064563989
23900,Gasoline,Automatic,No,Yes,6,0.1165468795258822
155000,Gasoline,Automatic,No,Yes,15,0.126749599970396
26998,Gasoline,Automatic,No,No,6,0.0662236512899969
67500,Gasoline,Automatic,No,Yes,6,0.127165942165697
52000,Gasoline,Automatic,Yes,Yes,5,0.1099337934420554
39700,Gasoline,Automatic,No,Yes,9,0.0813574503083011
55000,Gasoline,Dual Shift,No,Yes,8,0.1100768484277105
16000,Electric,Automatic,Yes,Yes,6,0.1580614722156526
58981,Others,Automatic,No,Yes,32,0.0400043945086496
32000,Gasoline,Dual Shift,Yes,Yes,20,-0.1460752454809643
135465,Gasoline,Automatic,No,Yes,18,0.0347677549106697
73000,Gasoline,Dual Shift,No,Yes,9,0.1695754988273566
26465,Gasoline,Automatic,No,No,6,0.0854999055704563
25991,Gasoline,Automatic,No,Yes,15,0.0618570571138626
105000,Gasoline,Manual,Yes,Yes,14,0.0931032972578588
72277,Gasoline,Dual Shift,No,Yes,14,0.0597153092680471
5800,Electric,Automatic,No,Yes,3,0.0888274899466005
33812,Electric,Automatic,No,Yes,8,0.1358370425983656
22000,Gasoline,Dual Shift,No,Yes,8,0.0273532089055217
66126,Gasoline,Automatic,No,No,7,0.0645706569042638
90000,Gasoline,Automatic,No,Yes,10,0.0880128194872494
40600,Gasoline,Automatic,No,Yes,8,0.0869379720756195
92000,Diesel,Automatic,Yes,Yes,7,0.1021240657557001
39000,Gasoline,Dual Shift,Yes,Yes,8,0.1180590899862793
114890,Gasoline,Dual Shift,No,Yes,14,0.0961347617571383
77200,Gasoline,Manual,No,Yes,23,0.0826700333175233
50000,Gasoline,Automatic,No,Yes,6,0.0989541783286071
2250,Gasoline,Automatic,No,Yes,3,-0.0045238152189661
229450,Gasoline,Automatic,No,Yes,21,0.0721939289045844
78700,Gasoline,Automatic,No,Yes,5,0.1197367728575349
109580,Gasoline,Automatic,Yes,Yes,10,0.1064739713680684
50000,Gasoline,Dual Shift,Yes,Yes,18,0.100923903305922
29140,Gasoline,Manual,No,Yes,5,0.0388483602065131
33300,Diesel,Automatic,No,Yes,4,0.0800010109784764
93500,Gasoline,Automatic,Yes,Yes,12,0.1441486415977294
97496,Gasoline,Manual,Unknown,No,22,0.0395607519329059
16120,Gasoline,Automatic,No,No,3,0.0729469712473181
47144,Gasoline,Manual,No,Yes,9,0.0533621892814406
165454,Gasoline,Automatic,Yes,Yes,14,0.1718538304265056
19000,E85 Flex Fuel,Automatic,Yes,No,6,0.0490090404128079
1539,Hybrid,Automatic,Yes,Yes,2,-0.1044571441584777
13300,Gasoline,Automatic,No,Yes,10,0.0750600661974286
16000,Hybrid,Automatic,No,Yes,5,0.0899889024210411
7874,Electric,Automatic,No,No,6,0.1622437085628957
49105,Gasoline,Automatic,No,Yes,8,0.0454908218268884
92861,Gasoline,Automatic,No,Yes,11,0.0673128499868416
72000,Gasoline,Automatic,No,Yes,9,0.1530025042606447
92008,Gasoline,Automatic,No,Yes,16,0.1270330072084852
63900,Gasoline,Automatic,No,Yes,27,0.0416909013870312
30554,Electric,Automatic,No,No,5,0.1129728043758979
17000,Electric,Automatic,No,Yes,2,0.0752452970466716
51335,Gasoline,Automatic,Yes,Yes,9,0.0792212547892679
115000,Gasoline,Automatic,No,Yes,6,0.0471824405321417
239000,Hybrid,Automatic,No,Yes,13,0.1707903337735759
46891,Gasoline,Automatic,Yes,Yes,5,0.1054413689898898
4457,Gasoline,Automatic,No,No,2,0.0852212529320589
47245,Gasoline,Manual,No,Yes,13,0.0362521789752104
36757,E85 Flex Fuel,Automatic,No,Yes,6,0.0556003843327712
76296,Gasoline,Automatic,Yes,Yes,10,0.1447463726177647
86170,Gasoline,Automatic,Yes,Yes,15,0.0560351394143277
23278,Gasoline,Automatic,No,No,5,0.0084153761665384
35400,Gasoline,Automatic,No,Yes,5,0.1365435443479377
59000,Gasoline,Automatic,No,Yes,6,0.1730566312316072
134000,Gasoline,Automatic,Yes,Yes,21,0.1134544565045409
24114,Gasoline,Automatic,Yes,No,5,0.0739324096191724
115000,Gasoline,Automatic,No,Yes,10,0.1411789831520528
72000,Gasoline,Dual Shift,Yes,Yes,10,0.1351214496768613
47589,Gasoline,Automatic,No,Yes,8,0.0681860255583659
119500,Gasoline,Automatic,Yes,Yes,29,0.0447288334551357
101800,Gasoline,Automatic,No,Yes,8,0.1741094247798381
12000,Gasoline,Automatic,No,Yes,6,0.0495435078720173
12055,Electric,Automatic,No,Yes,3,0.1677067794928702
69700,Gasoline,Automatic,Yes,Yes,14,0.0772159807321876
57939,Gasoline,Automatic,No,Yes,9,0.1544450719540981
54000,Gasoline,Automatic,No,Yes,10,0.1274849306072417
110000,Gasoline,Automatic,Yes,Yes,8,0.1009851300963951
67400,Gasoline,Automatic,No,Yes,5,0.0533647881877079
166549,Gasoline,Automatic,Yes,Yes,8,0.1573047770665421
106700,Gasoline,Manual,No,Yes,12,0.0819111815797538
120000,Gasoline,Automatic,No,Yes,5,0.125839999939552
75000,Gasoline,Automatic,No,Yes,16,0.0515399661603499
98000,Gasoline,Automatic,Yes,Yes,9,0.0507350888595369
38800,Gasoline,Dual Shift,No,Yes,5,0.1091754245388929
85325,Gasoline,Automatic,No,Yes,9,0.0394251744534568
9980,Gasoline,Automatic,No,Yes,2,-0.0253643135706064
120000,Diesel,Automatic,No,Yes,14,0.0345741385816946
325,Hybrid,Automatic,No,Yes,2,-0.0502436347485995
179000,Gasoline,Automatic,Yes,Yes,18,0.0422133031178592
100564,Gasoline,Automatic,No,No,7,0.1826569676867567
13700,Hybrid,CVT,No,Yes,3,-0.0697926578759281
